paper_id,paper_title,q_id,q_type,question,expected_answer,expected_concepts,difficulty,source_page,status,reviewer_notes,corrected_answer,corrected_concepts
24_chicken_microbiome,24_chicken_microbiome,24_chicken_microbiome_FR1,factual_recall,"Based on the longitudinal occurrence analysis over the 42-day study period, how many microbial genera were classified into the 'colonization', 'disappearance', and 'core' categories?","The study identified three distinct longitudinal occurrence patterns: 107 genera were classified in the 'colonization' category, 24 genera were in the 'disappearance' category, and 18 genera belonged to the 'core' category that remained present throughout the 42-day period.","colonization, disappearance, core category, 107 genera, 24 genera, 18 genera",easy,8,PENDING,,,
24_chicken_microbiome,24_chicken_microbiome,24_chicken_microbiome_CO2,conceptual,How does the choice between Relative Microbiome Profiling (RMP) and Quantitative Microbiome Profiling (QMP) affect the interpretation of microbial interactions and community variations?,"RMP introduces significant bias by overestimating variations within microbial communities and failing to identify many significant positive taxon-taxon interactions that are captured by QMP. This discrepancy is particularly notable in the mycobiome, where RMP misses many correlations discovered through quantitative methods.","bias, overestimated variations, taxon-taxon interactions, mycobiome, quantitative profiling",medium,"5, 6",PENDING,,,
24_chicken_microbiome,24_chicken_microbiome,24_chicken_microbiome_TE3,technical,"Using the ecological modeling metrics employed in the study, what are the primary assembly processes for bacterial versus fungal communities in the chicken gut?","The study utilized beta nearest taxon index (βNTI) and Raup-Crick (RCBray) metrics to distinguish assembly processes. It determined that bacterial communities are primarily driven by deterministic processes (accounted for 56.7% of assembly), whereas fungal communities are governed more by stochastic processes (accounted for 55.1% of assembly).","beta nearest taxon index, βNTI, deterministic processes, stochastic processes, RCBray",hard,"5, 7",PENDING,,,
19_hpai_canada,19_hpai_canada,19_hpai_canada_FR1,factual_recall,"According to the epidemiological review of the 2022 H5N1 outbreak, how many birds were culled in Canada?","In 2022, Canada experienced a massive wave of HPAI H5N1 infections that resulted in the culling of over 7 million birds. These outbreaks have continued to profoundly affect commercial bird farms both in Canada and across the world.","7 million, birds, culled, Canada, HPAI H5N1",easy,1,PENDING,,,
19_hpai_canada,19_hpai_canada,19_hpai_canada_CO2,conceptual,What are the common clinical presentations and relative frequency of H5N1 clade 2.3.4.4b infections when comparing mammals to humans?,"Infected mammals, including species like skunks and foxes, frequently present with severe neurological signs such as encephalitis or meningoencephalitis which often lead to death. Conversely, human infection with this specific clade remains extremely rare, with fewer than 10 cases reported globally despite the widespread mammalian spillover.","neurological signs, encephalitis, spillover, human infection, rare, clade 2.3.4.4b",medium,2,PENDING,,,
19_hpai_canada,19_hpai_canada,19_hpai_canada_TE3,technical,Which specific viral mutations linked to mammalian adaptation were detected in the neurological tissues of carnivores in Canada and Europe?,"The mutations identified in the brains of various carnivores include PB2-E627K, PB2-E627V, and D701N. These specific genetic markers are recognized as mammalian adaptation mutations and were found in samples collected from both European and Canadian animals.","PB2-E627K, E627V, D701N, mammalian adaptation, brain, carnivores",hard,2,PENDING,,,
23_swine_cultivation,23_swine_cultivation,23_swine_cultivation_FR1,factual_recall,"How many bacterial colonies were isolated in total, and how many distinct sub-ASVs were identified within the Lactobacillus ASV5 group?","The study isolated a total of 1,299 colonies, which clustered into 148 different bacterial taxa across 28 genera. Specifically, near-full-length 16S rRNA sequencing revealed the presence of 13 sub-ASVs within the single V4-defined ASV5 (Lactobacillus).","1,299 colonies, 148 bacterial taxa, 13 sub-ASVs, Lactobacillus ASV5, 16S rRNA sequencing",easy,1,PENDING,,,
23_swine_cultivation,23_swine_cultivation,23_swine_cultivation_CO2,conceptual,"How does the microbial diversity identified by culture-dependent (CD) methods compare to culture-independent (CI) methods across the four growth stages, and what does this imply about the overlap between the two approaches?","Culture-dependent (CD) methods detected significantly higher microbial diversity (measured in ASVs) than culture-independent (CI) methods at all stages, such as 823 vs 555 ASVs at the finishing stage. However, only about half (45.2% to 56.4%) of the ASVs detected by CI methods were actually recovered using the 53 culture methods, suggesting that while CD methods capture more total variants, many taxa seen in sequencing remain uncultured.","CD vs CI diversity, ASV counts, Growth stages, Recovery rate, Overlap",medium,"1, 4",PENDING,,,
23_swine_cultivation,23_swine_cultivation,23_swine_cultivation_TE3,technical,"Based on the PERMANOVA analysis, what was the most significant factor influencing the culturable bacterial community composition, and what specific statistical result supports this?","Oxygen was identified as the primary factor shaping the culturable bacterial community. This was supported by PERMANOVA analysis, where oxygen ranked as the top driver with a mean F-score of 142.1 (P < 0.001).","Oxygen, PERMANOVA, F-score, 142.1, culturable bacterial community",medium,8,PENDING,,,
50_4cseq_protocol,50_4cseq_protocol,50_4cseq_protocol_FR1,factual_recall,"According to the paper's subsampling analysis, what is the minimum number of cis-mapped reads required to generate reproducible 4C profiles?","Subsampling analysis indicates that roughly 50,000–100,000 cis-mapped 4C reads are sufficient to generate reproducible 4C profiles. This allows for reliable contact profile generation even with relatively low sequencing depth.","50,000–100,000, cis-mapped reads, reproducible 4C profiles, subsampling analysis",easy,31,PENDING,,,
50_4cseq_protocol,50_4cseq_protocol,50_4cseq_protocol_CO2,conceptual,How does the distribution of sequencing reads across the genome serve as an indicator of a successful 4C-seq experiment?,"A successful 4C-seq experiment is characterized by a high concentration of reads on the 'cis chromosome,' which is the chromosome containing the viewpoint. Specifically, preferably >60% of the reads should map to this chromosome, reflecting the higher frequency of local chromatin interactions compared to distal or trans-chromosomal interactions.","cis chromosome, viewpoint, 60% of reads, chromatin interactions, mapping distribution",medium,"28, 29",PENDING,,,
50_4cseq_protocol,50_4cseq_protocol,50_4cseq_protocol_TE3,technical,"What is the function of the 'motifPosperc' metric within the pipe4C data processing pipeline, and what value indicates high specificity?","The 'motifPosperc' metric represents the percentage of reads in the FASTQ file where the first restriction enzyme (RE) motif position matches the most frequently occurring first RE motif position. To indicate high specificity of the 4C-seq library, this value should typically be greater than 90%.","motifPosperc, restriction enzyme motif, 90%, specificity, pipe4C",hard,"25, 28",PENDING,,,
11_asf_burkina_faso,11_asf_burkina_faso,11_asf_burkina_faso_FR1,factual_recall,"In the study of the 2018 African Swine Fever Virus (ASFV) outbreaks, how many blood samples were collected in total and how many of those were confirmed positive for ASFV DNA?","According to the study, a total of 62 blood samples were collected from pigs during the field investigations. Out of these sixty-two samples, real-time PCR results confirmed the presence of ASFV DNA in 20 samples.","62 blood samples, 20 positive, real-time PCR, ASFV DNA",easy,4,PENDING,,,
