paper_id,domain,filename,paper_title,q_id,type,difficulty,question,expected_answer,expected_concepts,source_page,status,reviewer_notes,corrected_question,corrected_answer,corrected_concepts,run_1,run_2,run_3,concepts_covered,factual_match,consistency,answerable,flag,flag_reason,validation_status
1,bioinformatics_ngs,01_sarek.pdf,Scalable and efficient DNA sequencing analysis on different compute infrastructures aiding variant discovery (Sarek),01_sarek_FR1,factual_recall,easy,"What is the total storage capacity required for the resulting BAM, annotated VCF, and CNV files for a 90x/90x tumor/normal WGS dataset processed by Sarek?","Processing a 90x/90x WGS dataset requires approximately 1.4 TB (specifically 1378 GB) for the final result files, excluding temporary data. This storage allocation covers BAM files, annotated VCF files, and CNV files.","1.4 TB, 1378 GB, 90x/90x dataset, BAM files, VCF files",4,PENDING,,,,,"For a 90x/90x tumor/normal WGS dataset, approximately 1.4 TB of storage is allocated for the resulting BAM, annotated VCF, and CNV files, excluding GVCF files. This is part of a total storage requirement of 1378 GB for result files as detailed in the paper's resource usage analysis. Additionally, the workflow requires at least 4 TB of available free storage to handle the full analysis, including temporary data.",,,5/5,True,True,True,False,,OK
1,bioinformatics_ngs,01_sarek.pdf,Scalable and efficient DNA sequencing analysis on different compute infrastructures aiding variant discovery (Sarek),01_sarek_CO2,conceptual,medium,How does the Sarek workflow architecture address the dual needs of computational reproducibility and scientific best practices in variant calling?,"Sarek ensures computational reproducibility and portability by utilizing the Nextflow workflow language alongside containerization (Docker, Singularity) and environment management (Conda). Scientifically, it adheres to GATK best-practice recommendations for pre-processing steps, such as deduplication and recalibration, before performing variant calling using established tools like HaplotypeCaller or Mutect2.","Nextflow, Containerization, GATK best-practice, Reproducibility, Portability",1-2,PENDING,,,,,"Sarek addresses computational reproducibility by utilizing the Nextflow workflow language and containerization (Docker, Singularity) or Conda environments to ensure consistent execution across diverse computing platforms. For scientific best practices, the workflow follows GATK recommendations for read alignment and pre-processing while integrating a suite of high-quality, state-of-the-art tools for variant identification and annotation. Additionally, it provides transparent code and extensive quality metrics reporting to ensure the integrity and clarity of the analysis.",,,5/5,True,True,True,False,,OK
1,bioinformatics_ngs,01_sarek.pdf,Scalable and efficient DNA sequencing analysis on different compute infrastructures aiding variant discovery (Sarek),01_sarek_TE3,technical,hard,"Based on the benchmarking results, what is the specific F1 score achieved for somatic single-base mutations (SSM) when using the intersection of GATK4 Mutect2 and Strelka2?",Sarek achieves an F1 score of 0.80 for somatic single-base mutations (SSM) when evaluating the intersection of the GATK4 Mutect2 and Strelka2 callers. This result is based on benchmarking against a defined 'Gold Set' as described in the somatic variant calling analysis.,"F1 score, 0.80, Mutect2, Strelka2, Intersection",6,PENDING,,,,,"Based on the benchmarking results presented in Table 3 on page 6, the intersection of GATK4 Mutect2 and Strelka2 achieved an F1 score of 0.80 for somatic single-base mutations (SSM). This performance was measured against a curated ""Gold Set"" of 1,263 verified somatic mutations. The intersection of these two callers provided the highest F1 score and precision (0.88) among the SSM calling procedures evaluated in the study.","Based on the benchmarking results presented in Table 3, the specific F1 score achieved for somatic single-base mutations (SSM) using the intersection of GATK4 Mutect2 and Strelka2 is 0.80. This score was calculated based on a curated ""Gold Set"" of verified somatic mutations from a previous benchmark study.","Based on the benchmarking results in Table 3, the intersection of GATK4 Mutect2 and Strelka2 achieved an F1 score of 0.80 for somatic single-base mutations (SSM). This performance was measured against a ""Gold Set"" of 1,263 verified mutations from a medulloblastoma whole-genome sequencing dataset.",5/5,True,True,True,False,,OK
2,bioinformatics_ngs,02_snakemake.pdf,Sustainable data analysis with Snakemake,02_snakemake_FR1,factual_recall,medium,"According to the performance benchmarks provided in the paper, what are the specific time and memory requirements for the Snakemake scheduler to compute a graph of 90,000 jobs?","The Snakemake scheduler requires 37 seconds and 1.1 GB of memory to compute a graph for 90,000 jobs. This performance demonstrates that the scheduler scales linearly as the number of jobs increases.","37 seconds, 1.1 GB, 90,000 jobs, linear scaling",18,PENDING,,,,,"According to the performance benchmarks in section 3.5, computing the entire graph for 90,000 jobs requires 37 seconds of runtime and 1.1 GB of memory. These results were obtained using a single core of a 13th Gen Intel Core i7-1370P processor. The paper further notes that both runtime and memory usage increase linearly with the number of jobs.","According to the performance benchmarks provided in the paper, the Snakemake scheduler requires 37 seconds to compute the entire graph of 90,000 jobs. During this process, the memory usage reaches 1.1 GB. These requirements were measured on a single core of a 13th Gen Intel Core i7-1370P processor.","According to the performance benchmarks in section 3.5, computing a graph of 90,000 jobs requires 37 seconds of runtime and 1.1 GB of memory. These results were obtained using a single core of an 13th Gen Intel Core i7-1370P processor. The paper further notes that both runtime and memory usage increase linearly with the number of jobs in the workflow.",4/4,True,True,True,False,,OK
2,bioinformatics_ngs,02_snakemake.pdf,Sustainable data analysis with Snakemake,02_snakemake_CO2,conceptual,medium,How does Snakemake's implementation of a blockchain-style hashing scheme facilitate cross-workflow result caching?,"Snakemake employs a blockchain-style SHA-256 hashing scheme to create unique identifiers for job states based on code, parameters, and input data. This allows the system to recognize identical tasks across different workflow runs or projects, enabling the reuse of cached results and ensuring traceability of the data provenance.","SHA-256, hashing, result caching, cross-workflow, provenance",12,PENDING,,,,,"Snakemake calculates a unique SHA-256 hash for each job by capturing its code, parameters, raw input files, software environment, and the hashes of its dependencies. This recursive hashing principle, similar to blockchains, allows the system to store and look up output files in a central local or remote cache. If a matching hash is found in a subsequent run or a different workflow, Snakemake can skip execution and retrieve the results directly from the cache.","Snakemake calculates a unique SHA-256 hash for each job by recursively incorporating the hashes of its dependencies, code, parameters, and software environment, mirroring the hashing principle used in blockchains. This hash unambiguously identifies how an output file is generated, allowing Snakemake to store and look up results in a central cache. Consequently, subsequent runs of the same job in different workflows can skip execution and directly retrieve the output files from the cache, saving both computation time and disk space.","Snakemake calculates a unique hash for each job based on its code, parameters, input files, software environment, and the hashes of its dependencies. This hash unambiguously identifies how an output file is generated, allowing Snakemake to store and retrieve results from a central cache. Consequently, subsequent runs of the same job in different workflows or by different users can skip execution and directly use the cached output files.",4/5,True,True,True,False,,OK
2,bioinformatics_ngs,02_snakemake.pdf,Sustainable data analysis with Snakemake,02_snakemake_TE3,technical,hard,Explain the technical approach Snakemake uses to optimize job scheduling and how it handles job submission overhead in cluster or cloud environments.,"Snakemake uses Mixed Integer Linear Programming (MILP) to solve the scheduling problem by defining an objective function and constraints related to resources and temporary files. To handle overhead in cluster or cloud environments, it utilizes graph partitioning to group multiple rules/jobs into a single submitted unit, which reduces the frequency and cost of job submissions.","Mixed Integer Linear Programming (MILP), objective function, graph partitioning, job grouping, cluster/cloud overhead","10, 13",PENDING,,,,,"Snakemake optimizes job scheduling by solving a mixed integer linear program (MILP) that prioritizes high-priority jobs, maximizes parallelization, and ensures the rapid deletion of temporary files. To minimize job submission overhead in cluster or cloud environments, Snakemake utilizes graph partitioning to group connected subgraphs of the DAG into single ""group jobs."" These partitioned subgraphs are submitted together to the underlying queuing system, reducing the delays and costs associated with submitting many short-running jobs individually.","Snakemake optimizes job scheduling by solving a mixed integer linear program (MILP) that prioritizes high-priority jobs, maximizes parallelization, and ensures the rapid deletion of temporary files. To handle job submission overhead in cluster or cloud environments, Snakemake employs graph partitioning to group connected subgraphs of jobs into a single ""group job."" This allows multiple jobs to be submitted together to the underlying queuing system, significantly reducing the delays and costs associated with submitting many short-running jobs separately.","Snakemake optimizes job scheduling by solving a mixed integer linear program (MILP) that prioritizes high-priority jobs, maximizes parallelization, and ensures the rapid deletion of temporary files. To handle job submission overhead in cluster or cloud environments, it employs graph partitioning to group connected subgraphs of jobs into single ""group jobs."" This approach allows multiple tasks to be submitted together, minimizing the queuing delays and costs associated with submitting many short-running jobs separately.",5/5,True,True,True,False,,OK
3,bioinformatics_ngs,03_nfcore_framework.pdf,The nf-core framework for community-curated bioinformatics pipelines,03_nfcore_framework_FR1,factual_recall,easy,"According to the findings, what was the specific reduction in storage usage for the work directory when switching from BAM to CRAM, and what were the corresponding data volumes?","Switching from BAM to CRAM format reduced the storage usage for the work directory by 65%. Specifically, the storage volume dropped from 170.4 TB when using BAM to 59.7 TB when using CRAM.","65% reduction, CRAM, 170.4 TB, 59.7 TB, work directory",7,PENDING,,,,,"According to the findings, switching from BAM to CRAM format resulted in a 65% reduction in storage usage for the work directory during pre-processing. Specifically, the storage requirements dropped from 170.4 TB when using the BAM format to 59.7 TB with the CRAM format. This change significantly lowers the data footprint while maintaining the efficiency of the variant calling pipeline.","According to the findings, storage usage for the work directory during pre-processing dropped by 65% when switching from the BAM format to the CRAM format. Specifically, the data volume decreased from 170.4 TB for the BAM version to 59.7 TB for the CRAM version.","According to the findings, switching from BAM to CRAM resulted in a 65% reduction in storage usage for the work directory during pre-processing. Specifically, the data volume dropped from 170.4 TB for the BAM version to 59.7 TB for the CRAM version.",5/5,True,True,True,False,,OK
3,bioinformatics_ngs,03_nfcore_framework.pdf,The nf-core framework for community-curated bioinformatics pipelines,03_nfcore_framework_CO2,conceptual,medium,How does the nf-core/sarek 3.1.1 pipeline leverage architectural and methodological changes to optimize cost and performance for large-scale data analysis?,"The pipeline achieves significant optimization by transitioning to the Nextflow DSL2 framework, which allows for modular design and intra-sample parallelization through FastQ sharding. By combining these parallelization techniques with a switch from BAM to CRAM internal file formats and the integration of modern tools like DeepVariant, the system realizes a 70% reduction in commercial cloud costs and up to an 84% reduction in runtime for single samples.","Nextflow DSL2, intra-sample parallelization, sharding, CRAM, 70% cost reduction","1, 2, 6, 8",PENDING,,,,,"The nf-core/sarek 3.1.1 pipeline optimizes cost and performance by transitioning to the Nextflow DSL2 framework for modularity and switching its internal file format from BAM to CRAM, which reduces storage requirements by approximately 65%. It also implements enhanced intra-sample parallelization through FastQ sharding and genomic interval scattering, alongside using tools like fastP to combine multiple pre-processing steps. These improvements collectively result in a roughly 70% reduction in compute costs on commercial cloud platforms compared to previous versions.","The nf-core/sarek 3.1.1 pipeline optimizes cost and performance by transitioning to the Nextflow DSL2 framework for modularity and switching its internal file format from BAM to CRAM, which reduces storage requirements by approximately 65%. It further enhances efficiency through increased intra-sample parallelization and the integration of tools like fastP to combine sharding and adapter removal into a single step. These improvements lead to a 69–70% reduction in compute costs on commercial clouds and a significant decrease in overall runtime.","The nf-core/sarek 3.1.1 pipeline optimizes performance by utilizing a full rewrite in the Nextflow DSL2 framework, which enables modularity and increased intra-sample parallelization through FastQ sharding and interval scattering. It significantly reduces costs by switching its internal file format to CRAM, decreasing storage requirements by approximately 65%, and consolidating preprocessing steps like adapter trimming and sharding into a single process. These architectural changes, combined with the use of cloud spot instances, result in a 70% reduction in compute costs and an 84% reduction in runtime for large-scale data analysis.",5/5,True,True,True,False,,OK
3,bioinformatics_ngs,03_nfcore_framework.pdf,The nf-core framework for community-curated bioinformatics pipelines,03_nfcore_framework_TE3,technical,hard,"Based on the benchmarking of mapping processes, what was the numerical impact of input sharding on median runtime, and at what point was the maximum efficiency plateau reached?",Sharding the input files for intra-sample parallelization reduced the median runtime of the mapping processes to 37% of the original time. The benchmarking results show that this reduction in runtime reaches a performance plateau when the input is divided into 12 shards.,"sharding, median runtime, 37%, 12 shards, plateau","7, 8",PENDING,,,,,"Based on the benchmarking of mapping processes, input sharding achieved a reduction of the median runtime to 37%. This maximum efficiency plateau was reached at 12 shards, after which increasing the number of shards did not further decrease runtime.","Based on the benchmarking of mapping processes, input sharding achieved a reduction of the median runtime to 37%. This maximum efficiency plateau was reached at 12 shards, after which increasing the number of shards did not further decrease runtime.","Input sharding on the mapping processes resulted in a reduction of the median runtime to 37%. The maximum efficiency plateau for these processes was reached at 12 shards, after which further sharding did not significantly decrease runtime.",5/5,True,True,True,False,,OK
4,bioinformatics_ngs,04_fastp.pdf,fastp: an ultra-fast all-in-one FASTQ preprocessor,04_fastp_FR1,factual_recall,easy,"In a speed evaluation on a 9,316 M base dataset, what were the specific processing times for fastp (PE) compared to Trimmomatic?","In the evaluation, fastp (PE) took 13.3 minutes to process the dataset. In contrast, Trimmomatic required 60.9 minutes, making fastp approximately 4.5 times faster in this specific comparison.","13.3 minutes, 60.9 minutes, fastp (PE), Trimmomatic, speed evaluation",5,PENDING,,,,,"In a speed evaluation using the 9,316 M base B17NCB1 dataset, **fastp (PE)** had a processing time of **13.3 minutes**. In comparison, **Trimmomatic (PE)** took **60.9 minutes** to process the same dataset, as shown in Table 1.","In a speed evaluation using the 9,316 M base B17NCB1 dataset, fastp (PE) recorded a processing time of 13.3 minutes. In comparison, Trimmomatic (PE) took 60.9 minutes to process the same dataset. These results, listed in Table 1, demonstrate that fastp is significantly faster than Trimmomatic for paired-end data preprocessing.","In the speed evaluation using the 9,316 M base B17NCB1 dataset, fastp (PE) had a processing time of 13.3 minutes. In comparison, Trimmomatic (PE) took 60.9 minutes to process the same data. According to Table 1, these results were obtained using a single thread to ensure a fair comparison between the tools.",5/5,True,True,True,False,,OK
